"ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
3.48527431488037,907,902,0.994487320837927,"2016-02-08"
4.62094306945801,907,905,0.997794928335171,"2016-02-09"
4.62069702148438,907,905,0.997794928335171,"2016-02-10"
3.92424058914185,907,901,0.993384785005513,"2016-02-11"
4.62012100219727,907,906,0.998897464167585,"2016-02-12"
4.62115001678467,907,904,0.996692392502756,"2016-02-13"
4.62115001678467,907,904,0.996692392502756,"2016-02-14"
4.62012529373169,907,904,0.996692392502756,"2016-02-15"
3.44177865982056,907,907,1,"2016-02-16"
4.62012100219727,907,906,0.998897464167585,"2016-02-17"
4.62115001678467,907,904,0.996692392502756,"2016-02-18"
4.6200737953186,907,907,1,"2016-02-19"
4.6200737953186,907,907,1,"2016-02-20"
4.51031732559204,907,904,0.996692392502756,"2016-02-21"
3.86708283424377,907,901,0.993384785005513,"2016-02-22"
4.22882127761841,907,907,1,"2016-02-23"
4.620436668396,907,905,0.997794928335171,"2016-02-24"
4.11150169372559,907,904,0.996692392502756,"2016-02-25"
4.62083864212036,907,903,0.995589856670342,"2016-02-26"
4.6200737953186,907,907,1,"2016-02-27"
4.62115001678467,907,904,0.996692392502756,"2016-02-28"
4.62115001678467,907,904,0.996692392502756,"2016-02-29"
4.6200737953186,907,907,1,"2016-03-01"
4.620436668396,907,905,0.997794928335171,"2016-03-02"
4.62115001678467,907,904,0.996692392502756,"2016-03-03"
4.62372159957886,907,901,0.993384785005513,"2016-03-04"
4.62122058868408,907,903,0.995589856670342,"2016-03-05"
4.61980962753296,907,905,0.997794928335171,"2016-03-06"
4.6200737953186,907,907,1,"2016-03-07"
4.56727695465088,907,903,0.995589856670342,"2016-03-08"
2.58086705207825,907,901,0.993384785005513,"2016-03-09"
4.62012100219727,907,906,0.998897464167585,"2016-03-10"
4.6200737953186,907,907,1,"2016-03-11"
4.6200737953186,907,907,1,"2016-03-12"
4.620436668396,907,905,0.997794928335171,"2016-03-13"
4.42930030822754,907,907,1,"2016-03-14"
4.10432481765747,907,907,1,"2016-03-15"
3.97658228874207,907,905,0.997794928335171,"2016-03-16"
5.51116943359375,907,903,0.995589856670342,"2016-03-17"
4.65898561477661,907,904,0.996692392502756,"2016-03-18"
4.58623313903809,907,903,0.995589856670342,"2016-03-19"
4.58583450317383,907,905,0.997794928335171,"2016-03-20"
4.50021696090698,907,905,0.997794928335171,"2016-03-21"
4.58552169799805,907,906,0.998897464167585,"2016-03-22"
4.58868408203125,907,903,0.995589856670342,"2016-03-23"
4.58623313903809,907,903,0.995589856670342,"2016-03-24"
4.18695640563965,907,905,0.997794928335171,"2016-03-25"
4.58654594421387,907,904,0.996692392502756,"2016-03-26"
4.58661556243896,907,903,0.995589856670342,"2016-03-27"
4.73108005523682,907,903,0.995589856670342,"2016-03-28"
4.53090381622314,907,902,0.994487320837927,"2016-03-29"
4.51421546936035,907,903,0.995589856670342,"2016-03-30"
4.64168787002563,907,905,0.997794928335171,"2016-03-31"
4.63339424133301,907,904,0.996692392502756,"2016-04-01"
