name,date,total_ntl,total_pixels,weighted_ntl_mean,prev_weighted_ntl_mean,pct_change
Downtown,9月 2022,903.5128784179674,54,16.7317199707031,12.7459592819214,31.270778453176295
Downtown,11月 2022,667.4634132385248,54,12.3604335784912,16.7317199707031,-26.125744393678193
Downtown,1月 2023,850.1266365051295,54,15.7430858612061,12.3604335784912,27.366776911460175
Downtown,3月 2023,828.5052337646508,54,15.3426895141602,15.7430858612061,-2.5433155264213574
Downtown,5月 2023,902.0492935180686,54,16.7046165466309,15.3426895141602,8.876716375011936
Downtown,7月 2023,548.8642158508278,54,10.1641521453857,16.7046165466309,-39.15363386515044
Downtown,9月 2023,837.4576148986824,54,15.5084743499756,10.1641521453857,52.58010828789202
Downtown,11月 2023,1316.3144760131815,54,24.3761940002441,15.5084743499756,57.17983245903523
Downtown,1月 2024,897.0739288330069,54,16.6124801635742,24.3761940002441,-31.849573549472716
Downtown,3月 2024,1159.1712913513177,54,21.4661350250244,16.6124801635742,29.216918928774373
Downtown,5月 2024,714.9387702941891,54,13.239606857299798,21.4661350250244,-38.32328529627914
Downtown,7月 2024,432.61478805542004,54,8.01138496398926,13.239606857299798,-39.489253341596786
Downtown,9月 2024,667.5702209472636,54,12.3624114990234,8.01138496398926,54.310541243390105
Downtown,11月 2024,812.6453704833991,53,15.3329315185547,12.3624114990234,24.028645380118302
Dunbar-Southlands,1月 2012,161.93244516849495,95,1.70455205440521,NA,NA
Dunbar-Southlands,3月 2012,205.25903606414795,92,2.23107647895813,1.70455205440521,30.889313306224988
Dunbar-Southlands,5月 2012,157.5222980976107,95,1.65812945365906,2.23107647895813,-25.68029517153196
Dunbar-Southlands,7月 2012,170.21030008792889,95,1.7916873693466198,1.65812945365906,8.05473392881552
Dunbar-Southlands,9月 2012,171.7800307273862,95,1.80821084976196,1.7916873693466198,0.9222301110135029
Dunbar-Southlands,11月 2012,142.20425248146088,90,1.58004724979401,1.80821084976196,-12.61819660013579
Dunbar-Southlands,1月 2013,137.36939787864657,95,1.4459936618804903,1.58004724979401,-8.484150580370057
Dunbar-Southlands,3月 2013,218.44527363777115,95,2.29942393302917,1.4459936618804903,59.02033277509723
Dunbar-Southlands,5月 2013,188.01060318946816,95,1.97905898094177,2.29942393302917,-13.932400523698291
Dunbar-Southlands,7月 2013,197.1602022647858,95,2.07537055015564,1.97905898094177,4.866533546566586
Dunbar-Southlands,9月 2013,177.44424998760195,95,1.86783421039581,2.07537055015564,-9.99996553599867
Dunbar-Southlands,11月 2013,185.05891978740735,95,1.94798862934113,1.86783421039581,4.291302648768512
Dunbar-Southlands,1月 2014,187.3176109790801,95,1.97176432609558,1.94798862934113,1.2205254382050317
Dunbar-Southlands,3月 2014,205.61236977577198,95,2.16434073448181,1.97176432609558,9.766705170468494
Dunbar-Southlands,5月 2014,196.62138700485204,95,2.06969881057739,2.16434073448181,-4.37278300946822
Dunbar-Southlands,7月 2014,191.0824096202846,95,2.01139378547668,2.06969881057739,-2.817077770095653
Dunbar-Southlands,9月 2014,172.07365095615424,95,1.81130158901215,2.01139378547668,-9.947937490376122
Dunbar-Southlands,11月 2014,186.38219833374066,95,1.96191787719727,1.81130158901215,8.315362228951798
Dunbar-Southlands,1月 2015,159.55737948417635,95,1.6795513629913301,1.96191787719727,-14.392371744393259
Dunbar-Southlands,3月 2015,186.01023256778714,95,1.95800244808197,1.6795513629913301,16.578896675997473
Dunbar-Southlands,5月 2015,180.7150232791898,95,1.90226340293884,1.95800244808197,-2.8467301048438944
Dunbar-Southlands,7月 2015,190.08097290992754,95,2.00085234642029,1.90226340293884,5.18271777342391
Dunbar-Southlands,9月 2015,145.7188260555267,95,1.5338823795318601,2.00085234642029,-23.338552078761946
