"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150539,483,5149.3,2.58000016212463,2,2,1,"2012-01",NA
59150540,572,4677,2.96639227867126,4,4,1,"2012-01",NA
59150541,733,3087.6,3.13808536529541,5,5,1,"2012-01",NA
59150542,456,4672.1,3.25999975204468,2,2,1,"2012-01",NA
59150543,515,2200.9,3.26338338851929,5,5,1,"2012-01",NA
59150544,782,3927.7,4.21730899810791,6,6,1,"2012-01",NA
59150545,660,1444.5,4.50703859329224,7,7,1,"2012-01",NA
59150546,653,3809.8,4.48596715927124,5,5,1,"2012-01",NA
59150547,504,10478.2,4.52553558349609,2,2,1,"2012-01",NA
59150548,397,2713.6,3.66721272468567,4,4,1,"2012-01",NA
59150549,467,3092.7,2.97250127792358,6,6,1,"2012-01",NA
59150550,627,3013,4.16690254211426,6,6,1,"2012-01",NA
59150551,470,2888.8,3.2834837436676,3,3,1,"2012-01",NA
59150552,440,2679.7,3.29245829582214,6,6,1,"2012-01",NA
59150553,583,1734.6,3.09543609619141,8,8,1,"2012-01",NA
59150554,482,2013.4,2.97593402862549,6,6,1,"2012-01",NA
59150555,658,3801.3,3.2520534992218,4,4,1,"2012-01",NA
59150556,848,6945.1,3.92119956016541,5,5,1,"2012-01",NA
59150557,602,5663.2,3.2013418674469,4,4,1,"2012-01",NA
59150558,568,8377.6,4.07999992370605,2,2,1,"2012-01",NA
59150559,453,5061.5,2.47299289703369,4,4,1,"2012-01",NA
59150560,580,3884.8,3.03768444061279,4,4,1,"2012-01",NA
59150561,536,1949.1,2.09330725669861,6,6,1,"2012-01",NA
59150562,561,3085.8,2.96843647956848,5,5,1,"2012-01",NA
59150563,652,15305.2,3.89440226554871,2,2,1,"2012-01",NA
59150564,616,6821.7,2.93068742752075,6,6,1,"2012-01",NA
59150565,541,4692.1,2.70078372955322,3,3,1,"2012-01",NA
59150566,536,11166.7,3.59574317932129,2,2,1,"2012-01",NA
59150567,567,13247.7,3.64087891578674,4,4,1,"2012-01",NA
59150568,576,12281.4,3.79251646995544,4,4,1,"2012-01",NA
59150569,842,12719,3.91879677772522,2,2,1,"2012-01",NA
59150570,500,7518.8,3.88123393058777,4,4,1,"2012-01",NA
59150571,566,1826.4,3.42103362083435,6,6,1,"2012-01",NA
59150572,341,2567.8,3.38919043540955,6,6,1,"2012-01",NA
59150573,1430,23793.7,2.93433904647827,2,2,1,"2012-01",NA
59150575,695,3084.8,3.03407144546509,6,6,1,"2012-01",NA
59150577,819,3941.3,3.49273633956909,6,6,1,"2012-01",NA
59150578,463,1994,2.88687252998352,5,5,1,"2012-01",NA
59150579,413,3453.2,3.51871061325073,4,4,1,"2012-01",NA
59150580,473,3490.8,2.88271188735962,6,6,1,"2012-01",NA
59150581,366,3262,2.75451374053955,2,2,1,"2012-01",NA
59150582,580,3800.8,2.70282816886902,3,3,1,"2012-01",NA
59150583,567,5178.1,2.77763938903809,5,5,1,"2012-01",NA
59150584,615,6902.4,2.60474157333374,4,4,1,"2012-01",NA
59150585,480,3915.2,2.87423253059387,4,4,1,"2012-01",NA
59150586,541,3063.4,3.72526860237122,6,6,1,"2012-01",NA
59150587,577,6601.8,3.59524035453796,3,3,1,"2012-01",NA
59150588,585,5993.9,3.82563304901123,4,4,1,"2012-01",NA
59150589,468,4829.7,3.21192169189453,4,4,1,"2012-01",NA
