GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre,v_CA21_386: Average age,v_CA21_906: Median total income of household in 2020 ($),v_CA21_5853: University certificate or diploma above bachelor level,v_CA21_4410: Immigrants
59153302,DA,59153302,0.0532,470,164,159,470,8834.6,44.2,88000,10,295
59153303,DA,59153303,0.063,481,189,178,481,7634.9,43.4,75500,0,260
59153304,DA,59153304,0.0773,1421,657,625,1421,18382.9,38.6,82000,15,760
59153305,DA,59153305,0.0959,779,297,274,779,8123,41.6,83000,0,430
59153306,DA,59153306,0.1333,864,358,333,864,6481.6,40.7,84000,30,450
59153307,DA,59153307,0.072,436,171,157,436,6055.6,43.4,79500,0,230
59153308,DA,59153308,0.0932,741,258,243,741,7950.6,38.9,82000,40,355
59153370,DA,59153370,0.0241,911,606,591,911,37800.8,42.4,60800,15,220
59153371,DA,59153371,0.0249,842,631,542,842,33815.3,40.2,61600,40,335
59153372,DA,59153372,0.0306,957,694,655,957,31274.5,43.8,63200,25,340
59153373,DA,59153373,0.0317,1305,947,866,1305,41167.2,41.8,61600,40,435
59153394,DA,59153394,0.0571,1238,899,826,1238,21681.3,50.3,70000,40,400
59153400,DA,59153400,0.0468,903,595,572,903,19294.9,42.7,66000,20,390
59153464,DA,59153464,0.0667,1622,1148,1027,1622,24317.8,37.5,86000,80,540
59153466,DA,59153466,0.3478,693,459,409,693,1992.5,38.2,74000,10,265
59153467,DA,59153467,0.017,970,661,619,970,57058.8,41.6,79000,45,380
59153469,DA,59153469,0.0339,1035,522,497,1035,30531,47.6,82000,35,490
59153470,DA,59153470,0.0739,853,348,328,853,11542.6,46.9,113000,25,355
59153471,DA,59153471,0.0316,1359,838,754,1359,43006.3,46.5,103000,45,625
59153472,DA,59153472,0.0166,431,273,262,431,25963.9,40.6,94000,15,135
59153473,DA,59153473,0.0177,502,260,251,502,28361.6,39.6,95000,15,170
59153474,DA,59153474,0.0153,908,493,455,908,59346.4,44.0,96000,15,410
59153476,DA,59153476,0.026,727,433,404,727,27961.5,38.6,78500,30,365
59153477,DA,59153477,0.0081,489,355,307,489,60370.4,37.7,81000,15,220
59153479,DA,59153479,0.0338,1126,690,590,1126,33313.6,41.4,81000,50,540
59153480,DA,59153480,0.0089,676,448,404,676,75955.1,38.6,71500,15,330
59153481,DA,59153481,0.0149,935,591,541,935,62751.7,40.5,84000,30,595
59153482,DA,59153482,0.0097,699,470,384,699,72061.9,39.7,70500,25,320
59153483,DA,59153483,0.0759,869,500,425,869,11449.3,43.4,73000,15,280
59153490,DA,59153490,0.098,1574,750,725,1574,16061.2,38.4,85000,45,690
59153491,DA,59153491,0.0542,1056,639,620,1056,19483.4,42.1,76000,40,420
59153492,DA,59153492,0.1182,588,226,218,588,4974.6,34.7,127000,0,150
59153498,DA,59153498,0.0848,728,366,338,728,8584.9,47.7,66000,0,490
59153499,DA,59153499,0.0165,1132,582,561,1132,68606.1,41.2,69500,20,695
59153500,DA,59153500,0.0339,429,231,226,429,12654.9,35.7,75500,25,205
59153539,DA,59153539,0.1678,1176,444,440,1176,7008.3,50.5,81000,25,365
59153540,DA,59153540,0.1006,578,214,213,578,5745.5,40.8,88000,20,215
59153552,DA,59153552,0.2491,938,591,557,938,3765.6,44.2,57600,15,340
59153553,DA,59153553,0.0317,538,357,337,538,16971.6,44.7,54400,0,250
59153562,DA,59153562,0.0534,440,225,212,440,8239.7,46.2,100000,15,230
59153578,DA,59153578,0.3852,630,350,306,630,1635.5,44.4,62400,0,90
59153579,DA,59153579,0.0166,506,404,379,506,30481.9,50.9,37600,0,170
59153580,DA,59153580,0.0405,835,697,617,835,20617.3,44.4,45200,45,130
59153581,DA,59153581,0.0388,694,427,271,694,17886.6,51.0,41600,0,70
59153582,DA,59153582,0.0371,1396,991,870,1396,37628,41.9,38000,0,195
59153583,DA,59153583,0.0397,1001,481,434,1001,25214.1,51.5,51600,0,230
59153585,DA,59153585,0.1278,1256,957,880,1256,9827.9,42.8,41200,50,350
59153586,DA,59153586,3.9206,1105,750,678,1105,281.8,48.0,73000,35,445
59153587,DA,59153587,0.0152,750,532,505,750,49342.1,43.1,69500,35,320
