"geo_local_area","year","month","crime_count","date","prev_crime_count","pct_change"
"Dunbar-Southlands",2015,5,27,5月 2015,19,42.1052631578947
"Dunbar-Southlands",2015,7,54,7月 2015,27,100
"Dunbar-Southlands",2015,9,28,9月 2015,54,-48.1481481481481
"Dunbar-Southlands",2015,11,62,11月 2015,28,121.428571428571
"Dunbar-Southlands",2016,1,31,1月 2016,62,-50
"Dunbar-Southlands",2016,3,27,3月 2016,31,-12.9032258064516
"Dunbar-Southlands",2016,5,36,5月 2016,27,33.3333333333333
"Dunbar-Southlands",2016,7,36,7月 2016,36,0
"Dunbar-Southlands",2016,9,27,9月 2016,36,-25
"Dunbar-Southlands",2016,11,29,11月 2016,27,7.40740740740741
"Dunbar-Southlands",2017,1,33,1月 2017,29,13.7931034482759
"Dunbar-Southlands",2017,3,22,3月 2017,33,-33.3333333333333
"Dunbar-Southlands",2017,5,25,5月 2017,22,13.6363636363636
"Dunbar-Southlands",2017,7,31,7月 2017,25,24
"Dunbar-Southlands",2017,9,25,9月 2017,31,-19.3548387096774
"Dunbar-Southlands",2017,11,42,11月 2017,25,68
"Dunbar-Southlands",2018,1,38,1月 2018,42,-9.52380952380952
"Dunbar-Southlands",2018,3,31,3月 2018,38,-18.4210526315789
"Dunbar-Southlands",2018,5,15,5月 2018,31,-51.6129032258064
"Dunbar-Southlands",2018,7,30,7月 2018,15,100
"Dunbar-Southlands",2018,9,28,9月 2018,30,-6.66666666666667
"Dunbar-Southlands",2018,11,33,11月 2018,28,17.8571428571429
"Dunbar-Southlands",2019,1,25,1月 2019,33,-24.2424242424242
"Dunbar-Southlands",2019,3,23,3月 2019,25,-8
"Dunbar-Southlands",2019,5,16,5月 2019,23,-30.4347826086957
"Dunbar-Southlands",2019,7,29,7月 2019,16,81.25
"Dunbar-Southlands",2019,9,31,9月 2019,29,6.89655172413793
"Dunbar-Southlands",2019,11,30,11月 2019,31,-3.2258064516129
"Dunbar-Southlands",2020,1,32,1月 2020,30,6.66666666666667
"Dunbar-Southlands",2020,3,23,3月 2020,32,-28.125
"Dunbar-Southlands",2020,5,27,5月 2020,23,17.3913043478261
"Dunbar-Southlands",2020,7,36,7月 2020,27,33.3333333333333
